review_id,review_text,aspect,sentiment
RVW_00617,"please help, gue bingung mau pilih eos atau orgsm, gue order duaduanya, soalnya yg satu buat dikasih ke doi😂, dapet bonus pula dari hmns",No Aspect,None
RVW_00622,"Recomended banget pokoknya,ramah, fast respon, pengirimannya juga cepet banget. Selalu puas pake parfum ini. Thanks juga buat hadiah buku catatan sama voucer 25k nya, selebihnya biar bintang yang berbicara 👍👍👍",No Aspect,None
RVW_00631,"gitu deh cocok buat nembak wkwk, sayang gadapet bonus test",No Aspect,None
RVW_00639,LOVE THIS AS ALWAYSS❤️🔥 Thankyouu hmns for creating this and keep it up!!,No Aspect,None
RVW_00644,"Pertama kali beli parfum disini, secara keseluruhan sangat puas dengan pelayanannya. Barang pertama kali dateng pecah, Alhamdulillah seller mengirimkan kembali parfumnya. Terimakasi Humins 🙏😁",No Aspect,None
RVW_00649,"yang di tunggu2 tiba jugaaa, udah lama penasaran banget sama ini perfume!",No Aspect,None
RVW_00654,pengemasannya rapi dan aman yg pasti. udah dapet voucher+ dapet tester parfum varian lainnya juga,No Aspect,None
RVW_00656,"kemarin datang agak bocor sedikit & retak.. ajuin komplain ke CS langsng dikirim ulang, kmrn sdh sampe lgi barangnya dan aman.. thanks kak..",No Aspect,None
RVW_00661,"Udah 2x chekcout HMNS O ini, 1 buat istri, 1 buat ibuk. Alhamdulillah pada suka, kali ini malah dapet bonus reed diffuser nya home of humans sama vial 5ml the perfection, thanks tim HMNS, ditunggu parfum terbarunya yg buat cowo, sukses 👍🏻",No Aspect,None
RVW_00664,"Pesanannya sesuai, barang masih di segel waktu sampai, ada garansi resminya, dapat voucher untuk pembelian berikutnya dan proses pengirimannya cepat.",No Aspect,None
RVW_00666,Botol keempat 😁 Nggak bosan-bosan. Puas. ❤,No Aspect,None
RVW_00675,Mantaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaap,No Aspect,None
RVW_00676,"Bagusssss, original dan dapat Bros juga.",No Aspect,None
RVW_00682,"I REALLY LIKE THIS! aku awalnya smpet coba"" in parfum ini di beberapa mall, trus aku bingung mau beli yg mana, cuma ada 1 yg kecantol di pikiran ku, yapp hmns orgsm ini 💕🫰🏻 jdinya aku beli di online karna aku ga sempet ke mall lagi, VERY GOOD 🫶🏻 wajib coba ini",No Aspect,None
RVW_00685,"Produk original HMNS 100ml. Dapet bonus dompet. awal beli tester yg 5ml,calon istri suka langsung co yg 100ml",No Aspect,None
RVW_00691,Huhu akhirnya parfum kecintaan gw dateng juga 😍,No Aspect,None
RVW_00697,masyaAllah 😍👍👍👍👍👍,No Aspect,None
RVW_00698,Kualitas produk: Bangus Barang diterima dalam keadaan baik dan sesuai dengan pesanan,No Aspect,None
RVW_00710,waktuu mau buka paket terheran2 kenapa kotak nyaa dua. ternyata isi kotak yg 1nya itu Topi 😍. topinyaa bisa untuk suamiku. next mau coba philea.,No Aspect,None
RVW_00717,Good bgt pokoknya...andalan aku bgttttt❤️❤️❤️❤️,No Aspect,None
RVW_00718,"Sesuai, barang aman, dpt free diffuser thankyouu",No Aspect,None
RVW_00719,"Best, udah punya 7 varian HMNS sukaaaaaa 🩷🩷",No Aspect,None
RVW_00720,"udah beberapa kali beli, selalu sukaa. makasih tester dOs nya",No Aspect,None
RVW_00724,orderan yang kesekian kalinya dan tidak pernah mengecewakan plus dapat gift dari tokopedia thankyou 🤗,No Aspect,None
RVW_00726,"terima kasih banyak kak, dapat bonus juga, senang dan puas banget",No Aspect,None
RVW_00732,"cocok, dan aman sampai dengan selamat untuk wangi belum tau, karna buat hadiah",No Aspect,None
RVW_00736,Cepat bgt baru PO langsung nyampe! Gak nyangka dapet Angpaoo 😍 Terimakasih HMNS! Sukses selalu! ✨,No Aspect,None
RVW_00739,udah lama banget pengen ini akhirnya kesampean😭🤍🤍,No Aspect,None
RVW_00743,Respon penjual baik sekali...barang bagus dan dikasi bonus tester dan voucher...very recommended seller...,No Aspect,None
RVW_00767,"produk sesuai dengan deskripsi penjual, dapet voucher juga dong guys, mantapp 👍🏽 recommended seller",No Aspect,None
RVW_00768,"BELI ORGSM DAPET BONUS COMFORTISER 😭😭😭 padahal beli orgsm karena emang udah habis dan gatau hmns lagi ada program trick or treat huhu THANK YOU, TIM HMNS. What a treat! 🧡",No Aspect,None
RVW_00777,"toko fast respon n sangat ramah, proses dari order sampai kirim ke kurir sangat cepat, estimasi pengiriman sesuai, packing paket sangat aman dan barang diterima dengan baik.. suka dengan produk nya, sesuai dengan deskripsi..",No Aspect,None
RVW_00782,"thanks HMNS, padahal order lewat dari tanggal promo, tapi masih dapet promo decantnya 🖤",No Aspect,None
RVW_00787,pengiriman sangat cepat seller fast respon puas banget pokoknya dikirim ke jkt aman juga mantab,No Aspect,None
RVW_00788,Baru pertama kali coba parfume ini. Mudah mudahan cocok dan akan kembali beli lagi di sini dengan produk HMNS O ini. Good job HMNS team,No Aspect,None
RVW_00792,"Barang mantapp, yg di inginkan dari dulu, giliran beli buat kado hehehe",No Aspect,None
RVW_00793,Still my favorite parfume and thank you Tokopedia for the gift!!💌,No Aspect,None
RVW_00797,pembelian ketiga dari HMNS dan selalu puas ☺️ thanks seller!,No Aspect,None
RVW_00803,"saat pertama diterima Parfumnya bocor tetapi team Hmns gercep bgt respon nya,so aku WhatsApp lgsung di respon dan bisa lgsung tukar",No Aspect,None
RVW_00804,"terimakasiih, parfumnya udah sampai dengan baikkkk.",No Aspect,None
RVW_00809,"foto pertama foto dmn orderanku pas sampai itu hancur parah, setelah itu aku kontak lgsg huminsnya alhamdulillah responnya baik dan hari itu jg lgsg dikirim pengganti yg baru, masyaallah terimakasih byk ya hmns dan humins, gak nyesel emang masih setia sama orgsm dan hmns 😭🤗❤❤",No Aspect,None
RVW_00812,"proses cepat, packing cepat, cuman di dalem buble wrap ada semut kecil-kecilnya. proses pengiriman cepat. insyaallah beli lagiiii",No Aspect,None
RVW_00822,kayanya warnanya aga lebi pekat ya sekarang? gpp aku tetap syukaa. dapet bonus juga lagi. makasih banyaak☺️,No Aspect,None
RVW_00823,Gausah diragukan lagi sesuka itu😭😭 Dapet tester home of humans jg seneng bgtttt karna dr lama udh kepo sama reed diffusernyaaa! Thank you hmns❤️,No Aspect,None
RVW_00827,They know how to impress the customers so well ❤️,No Aspect,None
RVW_00829,Barang sampe dengan cepat dan dikirim oleh kurir pilihan sehingga pengiriman sangat aman.,No Aspect,None
RVW_00840,"mantap pembelian ke 2 buat hadiah , bonusan vial EOS , josss",No Aspect,None
RVW_00843,Orderan kesekian kali dan selalu puas banget. Pengirimannya sangat cepat. Dan team HMNS sangat ramah and very helpful. And I love their product 😍😘 Hey i got hadiah juga Thank u HMNS,No Aspect,None
RVW_00849,Barangnya sudah tiba semalam dan hari ini baru bisa komen karna skalian mau dibuat olahraga dan yaps sesuai harapan cocok untuk kegiatan outdoor dan untuk yg suka berkeringat cocok parah dah rekomend 👍,No Aspect,None
RVW_00858,pengiriman cepat sesuai estimasi waktu produk sesuai recommended,No Aspect,None
RVW_00877,"overall oke, cuma pilihan kurir yg terbatas di 1 opsi aja.",No Aspect,None
RVW_00879,yeay ga selalu happy unboxing paket dari hmns 🥰 ga sabar mau cobain seneng banget bisa nambah koleksi parfum dr brand ini semoga next bisa nyoba wangi lain 😊😇,No Aspect,None
RVW_00881,"Si paling suka alpha, walau udah banyak varian yang baru,, terima kasih juga buat gift sample Farhampton nya 🤗, udah pernah beli sih kalau Farhampton tadinya berharap dapet sample lain kayak EOS, O, atau yang lain *si paling ngarep wkwk Terima kasih banyak ya HMNS ❤️👍",No Aspect,None
RVW_00883,Seperti biasanya Kualitas oke Pengiriman sesuai estimasi waktu Overall good,No Aspect,None
RVW_00886,wah asli pertama kali cobain parfum lokal ini lgsg suka dan banyak banget bonusnya dr kartu garansi dan voucher pembelian berikutnya. menurug gua gokil sih ini. makasih min,No Aspect,None
RVW_00905,"SELALU suka buka paket dari HMNS! Kayak pasti akan dapat tanda cinta gitu. Bener aja kan, dapet bonus vial Home of Humans yang epic banget juara buat dipasang di mobil. Segeralah rilis produk parfum mobil Humins! Gokil sekali.",No Aspect,None
RVW_00919,"Udah dari dulu jadi andalan buat memikat istri orang. Sempet pindah ke Prestige, eh binornya kabur. Yaudah balik ke Alpha.",No Aspect,None
RVW_00921,makin ganteng make parfum HMNS ALPHA 🤩,No Aspect,None
RVW_00925,"sesuai deskripsi,,,,,,,,,,,,,,,,,,,,,,,,,",No Aspect,None
RVW_00943,Paket aman dan cepat sampai. Terimakasih,No Aspect,None
RVW_00955,tolong lah yaa ekspedisi sap lebih kompeten lagi jadi jasa pengiriman. klo gini terus para customer tokopedia bisa kabur ke mp sebelah yang berarti kemitraan lu dgn tokped bakal jelek semoga keluhan gw bisa di dengar sama tokopedia dan suruh benahi sistem pengiriman sap ps: barang yang di order dari tanggal 26 nov sampai tgl 4 desember dalam keadaan ok dan sesuai yang di pesan,No Aspect,None
RVW_00959,"Pengiriman cepat, produk OK.. Baru akan di coba.. Tp felling sih OK ini produk.. 👍",No Aspect,None
RVW_00962,makasih ya... mantap pake bangett😘😘😘😁🙏👍,No Aspect,None
RVW_00964,"Pembelian kesekian, puas banget pakai produk ini👍👍 Recommended !!! ada bonusnya 👍, terimakasih Terimakasih 🙏",No Aspect,None
RVW_00974,"niat hati mau CO parfum sndiri dan iseng liat parfum istri trnyata udah mau habis kepikiran pgn beliin buat surprise aja sekalian, DAAAANN... bnran gak tau kalo emg hr itu pas lg ada surprise jg dr hmns krn emg lg gak mantau IG HMNS, alhamdulillah dpt ADDICT 1 pcs.. seneng bgt doong pastinya.. makasih bnyk HMNS",No Aspect,None
RVW_00980,"Udah pernah punya sebelumnya, semoga kualitasnya ngga menurun ya, anw dapet bonus 5ml perfection 🫣 wow",No Aspect,None
RVW_00985,"Seperti biasa, bintang 5 👍 dikasih testernya unrosed pula.. thanks HMNS 👌",No Aspect,None
RVW_01003,"Barang sesuai dengan, pengiriman cepat dan ada tambahan orgasm parfume di dalam paketnya",No Aspect,None
RVW_01006,"kaget waktu buka dusnya ada bonus ancang, unik banget cara utk menghargai pelanggan nya, sangat mengesankan. Ini udh pemesanan kedua alhamdulillah puas",No Aspect,None
RVW_01031,Mantap pembelian yg kedua kalinya. Terbaik,No Aspect,None
RVW_01035,keren lah pokoknya. mewah! keep on HMNS.!,No Aspect,None
RVW_01048,Kualitas produk: Alhamdulillah Barang diterima dengan baik dan pengiriman cepat terimakasih 🙏,No Aspect,None
RVW_01054,"Setelah melihat banyak review dan banyak teman yang merekomendasikan akhirnya kali ini pertama kali nyobain parfum HMNS, pilihan pertama jatuh ke varian yang alpha 🔥",No Aspect,None
RVW_01062,Alhamdulillah sangat bahagia xixixi,No Aspect,None
RVW_01064,Kualitas produk: Sangat bagus kali Sesuai yg di pesan,No Aspect,None
RVW_01069,Sudah 2 tahun pakai hmns alpha dan ga pernah kecewa,No Aspect,None
RVW_01075,"Kualitas premium banget, bagus top..the kualitas HMNS",No Aspect,None
RVW_01076,Aaaa masi ga percaya🤣 Kaget dpt gift dari hmns😍 maaciw sukses terus buat hmns ya❤️❤️❤️ Kualitas produk: The best 💯,No Aspect,None
RVW_01077,"HMNS mah tidak pernah mengecewakan, btw tengkyu untuk topinya yaa",No Aspect,None
RVW_01078,Kalau untuk brand ini ma udah paling besttttt. Original bgt,No Aspect,None
RVW_01081,"Puas banget belanja di lapak ini, terimakasih... dan semoga tambah sukses dan berlimpah berkah ya...",No Aspect,None
RVW_01090,"i think i found what i have looking for, thank you HMNS",No Aspect,None
RVW_01092,barang sampai dengan selamat 👌,No Aspect,None
RVW_01093,terbaiikkkkkkkk,No Aspect,None
RVW_01096,"respon cepat, pengiriman jg cepat, barang selalu kualitas 5/5, sudah jd pelanggan setia dari awal hmns starter pack alpha",No Aspect,None
RVW_01098,"barang sampai dengan selamat dan diterima dengan baik, dan dpt bonus parfume promosi kecil",No Aspect,None
RVW_01101,"Mantebb nih, sebelumnya coba yg farhamptoo dan sukaa..kali ini mau coba yg alpha. Mayan dapet bonus dari 10.10 variant addiction",No Aspect,None
RVW_01104,udah 2 tahun oake hmns varian alpha dan blm kepikiran ganti varian karna udh nyaman,No Aspect,None
RVW_01105,cepet banget sampenya.. dpt bonus tester yg kecil.. trims,No Aspect,None
RVW_01112,Akhirnya bisa beli juga setelah mengendap lama di keranjang,No Aspect,None
RVW_01130,"cocok banget yg lagi binggung cari gift, thankyouu trlqh memacah kebutuankuuu",No Aspect,None
RVW_01144,diterima dg selamat tanpa cacat. dan hamdalah kebagian promo free farhampton nya wlwl tq hmns..,No Aspect,None
RVW_01163,Uda beli berapa kaliiiii love bgt elea sooo muchhh,No Aspect,None
RVW_01170,semua terlihat premium... yakin lah sama hmns... recommended seller 👍👍,No Aspect,None
RVW_01209,Canciiii 😍🥰 banyak free nya,No Aspect,None
RVW_01216,"Puas bgt belanja disini harga & kecepatan kurir sesuai seneng dan happy tidak mengecewakan, terima kasih",No Aspect,None
RVW_01260,udah purchase berkali kali dan sejatuh cinta itu emang sama elea. makasi tim hmns dan paus yg udh bikin elea ada. pengiriman nya cepat dan admin juga responsif bgt.,No Aspect,None
RVW_01264,"botol ke 3 dari elea , plisss jgn discontinue sampe kiamat ya ehehe , secinta itu aku sama elea 😍🥰🫶🏻",No Aspect,None
RVW_01281,Mama ku suka bgt,No Aspect,None
RVW_01284,"yay yay yayy uda sampee, next bakal order lagiiw atau cobain philea xixixi, produksi elea trus yac hmns. luv luv😘🫰💖",No Aspect,None
RVW_01297,"Kualitas produk: bagusss bangatttt, tsukaaa🥰😍, pelanggan garis keras HMNS niih🤩",No Aspect,None
RVW_01298,"Wishlist dari lama atas rekomendasi orang2. Baru pertama kali coba, semoga cocok",No Aspect,None
RVW_01312,Secinta ini aku sama elea 🥰 dah botol ke 3 🥰,No Aspect,None
RVW_01315,"Alhamdulillah paket sudah datang,, express kurir amanah... Dan dapet voucher 15k... Thankyou Untuk parfum belom coba",No Aspect,None
RVW_01316,AaaA paketnya sudah sampai. aku malah dapat free tempat minum hmns x tsana😭🤍,No Aspect,None
RVW_01317,wishlist dari lamaaa baru dicheckout pas 11.11 ga ekspek dapet tumblr gemassshhhh😖🤏🏻 thank u hmns🥺🫰🏻,No Aspect,None
RVW_01322,"POKOKNYA AKU UDAH PAKE DARI LAMA DAN SUKAAAAA, YUYUR ENDYULLLLLL",No Aspect,None
RVW_01338,LOVE TRIMS UNTUK GIFT NOTE BOOKNYA+VOUCHER 🙏😘❤️,No Aspect,None
RVW_01339,just got so speechless sksksbfksndk the best deh hmns x tsana🙆🏻‍♀️🐋,No Aspect,None
RVW_01346,"Mantap, packing aman, respon dan pengiriman cepat 👍👍👍",No Aspect,None
RVW_01367,its a fragrance or a friendgrance?? 🤍🤍🤍🤍🤍🤍🤍 i woof u hmns🤍,No Aspect,None
RVW_01385,"hello us, now i know u so close w me🤍 dan HMNS terima kasih sudah berkenan mewujudkan wanginya Mbak Daus🐳",No Aspect,None
RVW_01396,"huhu sukaaaa bangettt, sesama cegil kyungsooo jadi wajib beli ini 😭",No Aspect,None
RVW_01399,"si pertama kali banget nyobain hmnsxtsana, barangnya sampai dengan selamat",No Aspect,None
RVW_01407,SYUKAAKKK THANKIESS HMNS TEAM AND TSANAAA ❤️,No Aspect,None
RVW_01458,"Sayang amat, dapet samplenya yg Perfection. Udh punya, banyak, 2x beli.",No Aspect,None
